claim_id,claimant_id,vehicle_id,clinic_provider_id,repair_provider_id,attorney_provider_id,incident_type,weather_condition,claim_date,police_report_filed,injuries_count,witnesses_count,claim_amount,claim_status,payout_amount,is_fraud,fraud_ring_id,payout_ratio,claim_year,claim_month,claim_month_name,unpaid_amount
CM005820,CL002434,VH003054,PR000129,PR000110,,multi_vehicle_pileup,clear,2023-11-28,True,0,0,4946.6,paid,4534.76,0,,0.9167428132454615,2023,11,Nov,411.84000000000015
CM007276,CL002579,VH000249,PR000208,PR000173,PR000215,sideswipe,rain,2023-02-14,True,0,0,1088.4,paid,1019.66,0,,0.9368430723998529,2023,2,Feb,68.74000000000012
CM000287,CL001992,VH000653,,PR000154,PR000237,sideswipe,clear,2023-04-07,True,2,1,3774.64,paid,3730.2,0,,0.988226691816968,2023,4,Apr,44.440000000000055
CM004253,CL001717,VH000061,PR000156,PR000079,,single_vehicle,rain,2023-04-13,True,1,2,2910.78,paid,2834.66,0,,0.9738489339627178,2023,4,Apr,76.12000000000035
CM008825,CL000486,VH003336,PR000198,PR000086,,parking_lot,clear,2024-08-07,False,1,1,9094.04,denied,0.0,1,RING016,0.0,2024,8,Aug,9094.04
CM000762,CL003236,VH002092,PR000222,PR000097,,parking_lot,fog,2024-02-19,True,0,2,2854.23,under_review,,0,,,2024,2,Feb,
CM002577,CL001077,VH000045,PR000192,PR000011,,sideswipe,fog,2023-08-24,False,0,0,2805.67,paid,2724.57,0,,0.9710942484326383,2023,8,Aug,81.09999999999991
CM008891,CL000072,VH002018,PR000235,PR000097,PR000130,sideswipe,snow,2023-04-09,False,0,0,5776.26,denied,0.0,1,RING019,0.0,2023,4,Apr,5776.26
CM001447,CL003113,VH000867,,PR000241,,single_vehicle,clear,2025-06-27,True,1,2,3806.48,paid,3751.74,0,,0.985619259788571,2025,6,Jun,54.74000000000024
CM001350,CL003425,VH003817,,PR000071,,rear_end_collision,clear,2023-02-02,True,0,0,4090.34,paid,4084.5,0,,0.9985722458279751,2023,2,Feb,5.8400000000001455
CM007360,CL002227,VH002478,PR000076,PR000060,,multi_vehicle_pileup,rain,2023-09-12,False,0,0,2539.05,paid,2472.26,0,,0.9736948858825152,2023,9,Sep,66.78999999999996
CM000096,CL000726,VH002590,,PR000221,PR000007,multi_vehicle_pileup,snow,2024-08-05,False,0,0,3973.11,paid,3747.25,0,,0.943152845000516,2024,8,Aug,225.86000000000013
CM008683,CL000872,VH001966,PR000104,PR000075,PR000188,parking_lot,clear,2025-10-01,True,0,1,5425.61,paid,4982.64,1,RING010,0.9183557240568343,2025,10,Oct,442.96999999999935
CM001140,CL001703,VH002714,,PR000015,,multi_vehicle_pileup,clear,2024-10-23,True,0,0,4787.37,paid,4545.18,0,,0.9494106367379167,2024,10,Oct,242.1899999999996
