provider_id,provider_name,provider_type,state,years_in_business,fraud_history_flag
PR000000,"Lee, Whitehead and Peterson",repair_shop,PA,27,True
PR000001,Roy Group,medical_clinic,CA,40,False
PR000002,"Mcmillan, Moore and Miller",medical_clinic,IL,29,False
PR000003,Martin-Vaughn,medical_clinic,OH,9,False
PR000004,"Herrera, Burke and Nolan",medical_clinic,NY,3,False
PR000005,Perez-Ortiz,repair_shop,NC,39,False
PR000006,Duncan Group,medical_clinic,MI,29,False
PR000007,"Baird, Freeman and Kramer",attorney,CA,21,False
PR000008,Warren-Williams,medical_clinic,NY,35,False
PR000009,Ward Group,repair_shop,NC,10,False
PR000010,"Jensen, Powers and Bennett",medical_clinic,GA,23,False
PR000011,Dominguez-Johnson,repair_shop,MI,39,False
PR000012,Williams Inc,repair_shop,MI,25,False
PR000013,Price-Smith,repair_shop,PA,24,False
PR000014,English Group,medical_clinic,GA,20,False
PR000015,Murphy PLC,repair_shop,GA,15,False
PR000016,Campbell Inc,attorney,FL,21,False
PR000017,Cortez and Sons,medical_clinic,CA,12,False
PR000018,Watkins-Gomez,repair_shop,FL,18,False
PR000019,Barber Ltd,medical_clinic,FL,23,False
PR000020,"Ellis, Novak and Cunningham",attorney,FL,29,True
PR000021,"Ross, Salinas and Watts",medical_clinic,NC,36,False
PR000022,Thompson Group,medical_clinic,CA,5,False
PR000023,Snyder-Trujillo,medical_clinic,GA,39,False
PR000024,Sanchez Ltd,repair_shop,PA,26,False
PR000025,Smith PLC,medical_clinic,IL,39,True
PR000026,"Horton, Jones and Patel",medical_clinic,OH,11,False
PR000027,Everett Ltd,repair_shop,IL,11,False
PR000028,"Barr, Austin and Crane",repair_shop,IL,18,False
PR000029,Olson PLC,repair_shop,MI,12,False
PR000030,Gibbs-Bradford,attorney,OH,16,True
PR000031,Mcdaniel Ltd,medical_clinic,GA,27,False
PR000032,Obrien-Garcia,repair_shop,OH,36,False
PR000033,Pruitt Inc,medical_clinic,PA,17,False
PR000034,Hall-Lee,medical_clinic,GA,21,False
PR000035,Chan and Sons,medical_clinic,NY,37,False
PR000036,Cole-Williams,medical_clinic,FL,31,False
PR000037,"Paul, Bennett and White",repair_shop,IL,35,False
