vehicle_id,make,model,model_year,vehicle_type,fuel_type,market_value,vin_hash
VH000000,Hyundai,Santa Fe,2019,suv,gasoline,11492.22,uz42429100XH246189
VH000001,Hyundai,Elantra,2008,sedan,gasoline,2640.0,xC80442350pq428870
VH000002,Hyundai,Sonata,2008,sedan,gasoline,3240.0,ip65475922dg913412
VH000003,Honda,CR-V,2023,suv,gasoline,19903.6,it21270665Oe329132
VH000004,Chevrolet,Tahoe,2017,suv,gasoline,13737.53,vk36102146Of132880
VH000005,Hyundai,Tucson,2016,suv,gasoline,6688.57,em16398872Xh217487
VH000006,Chevrolet,Silverado,2011,truck,gasoline,5224.06,gY51614200Wd520193
VH000007,Toyota,Camry,2023,sedan,electric,19051.09,sS75897047mb785600
VH000008,Hyundai,Santa Fe,2011,suv,gasoline,3960.0,Xt87861030LL605587
VH000009,Honda,Pilot,2023,suv,hybrid,23407.71,Xz18930714qr118520
VH000010,BMW,7 Series,2022,sedan,gasoline,45181.25,Nh58700726oe905201
VH000011,Honda,Odyssey,2018,minivan,gasoline,13592.2,ll37892402Pc776128
VH000012,BMW,3 Series,2024,sedan,gasoline,33286.29,jf82896641CF808069
VH000013,Chevrolet,Tahoe,2017,suv,gasoline,14276.46,IA26815035SJ969244
VH000014,Kia,Optima,2019,sedan,gasoline,10799.89,ou65843056Zp279827
VH000015,Kia,Sorento,2019,suv,diesel,13579.35,Xm72647920Vy490014
VH000016,Kia,Optima,2009,sedan,gasoline,3000.0,GE04235157PC873314
VH000017,BMW,X5,2024,suv,gasoline,46862.29,zJ42865812Nn983814
VH000018,Chevrolet,Malibu,2019,sedan,gasoline,10735.42,Pg64158618pS162636
VH000019,Honda,Pilot,2024,suv,hybrid,33338.5,VU27018924IT579835
VH000020,Hyundai,Elantra,2021,sedan,gasoline,10841.98,bg52718327XU856438
VH000021,Chevrolet,Equinox,2008,suv,gasoline,3480.0,iN37628885jY488630
VH000022,Hyundai,Accent,2016,sedan,gasoline,4803.79,uS96564187tH484595
VH000023,Hyundai,Santa Fe,2016,suv,gasoline,7540.25,Lk95687945cE538113
VH000024,Ford,Mustang,2022,sedan,gasoline,18336.45,PO62039526Cq189650
VH000025,Hyundai,Sonata,2021,sedan,diesel,13122.04,sm74228486UJ646174
VH000026,Ford,Explorer,2013,suv,gasoline,6092.53,Ux63337141lv385364
VH000027,Kia,Forte,2023,sedan,gasoline,15348.34,nt50365356Xt547543
VH000028,BMW,X3,2009,suv,gasoline,5640.0,sQ33549341Ox863549
VH000029,Honda,CR-V,2017,suv,gasoline,9965.6,mJ18374402Xy634470
VH000030,Nissan,Pathfinder,2010,suv,gasoline,4320.0,jD69649478SX490882
VH000031,BMW,7 Series,2018,sedan,hybrid,27770.36,Xz29740400Mg066637
VH000032,Toyota,Corolla,2014,sedan,gasoline,4589.33,DT11586603wE294394
VH000033,Hyundai,Sonata,2009,sedan,gasoline,3240.0,Ic58099814Ev299755
VH000034,BMW,5 Series,2021,sedan,gasoline,26036.95,Pv37579461ic263542
VH000035,Kia,Sorento,2011,suv,gasoline,4245.49,sy64483107RL427514
VH000036,Chevrolet,Equinox,2008,suv,gasoline,3480.0,Vd49180450Cj193415
