claim_id,claimant_id,vehicle_id,clinic_provider_id,repair_provider_id,attorney_provider_id,incident_type,weather_condition,claim_date,police_report_filed,injuries_count,witnesses_count,claim_amount,claim_status,payout_amount,is_fraud,fraud_ring_id
CM005820,CL002434,VH003054,PR000129,PR000110,,multi_vehicle_pileup,clear,2023-11-28,True,0,0,4946.6,paid,4534.76,0,
CM007276,CL002579,VH000249,PR000208,PR000173,PR000215,sideswipe,rain,2023-02-14,True,0,0,1088.4,paid,1019.66,0,
CM000287,CL001992,VH000653,,PR000154,PR000237,sideswipe,clear,2023-04-07,True,2,1,3774.64,paid,3730.2,0,
CM004253,CL001717,VH000061,PR000156,PR000079,,single_vehicle,rain,2023-04-13,True,1,2,2910.78,paid,2834.66,0,
CM008825,CL000486,VH003336,PR000198,PR000086,,parking_lot,clear,2024-08-07,False,1,1,9094.04,denied,0.0,1,RING016
CM000762,CL003236,VH002092,PR000222,PR000097,,parking_lot,fog,2024-02-19,True,0,2,2854.23,under_review,,0,
CM002577,CL001077,VH000045,PR000192,PR000011,,sideswipe,fog,2023-08-24,False,0,0,2805.67,paid,2724.57,0,
CM008891,CL000072,VH002018,PR000235,PR000097,PR000130,sideswipe,snow,2023-04-09,False,0,0,5776.26,denied,0.0,1,RING019
CM001447,CL003113,VH000867,,PR000241,,single_vehicle,clear,2025-06-27,True,1,2,3806.48,paid,3751.74,0,
CM001350,CL003425,VH003817,,PR000071,,rear_end_collision,clear,2023-02-02,True,0,0,4090.34,paid,4084.5,0,
CM007360,CL002227,VH002478,PR000076,PR000060,,multi_vehicle_pileup,rain,2023-09-12,False,0,0,2539.05,paid,2472.26,0,
CM000096,CL000726,VH002590,,PR000221,PR000007,multi_vehicle_pileup,snow,2024-08-05,False,0,0,3973.11,paid,3747.25,0,
CM008683,CL000872,VH001966,PR000104,PR000075,PR000188,parking_lot,clear,2025-10-01,True,0,1,5425.61,paid,4982.64,1,RING010
CM001140,CL001703,VH002714,,PR000015,,multi_vehicle_pileup,clear,2024-10-23,True,0,0,4787.37,paid,4545.18,0,
CM008750,CL002900,VH000401,PR000119,PR000197,PR000135,multi_vehicle_pileup,snow,2025-05-26,False,2,0,2255.52,partially_paid,1032.61,1,RING012
CM006548,CL002297,VH001564,PR000195,PR000084,,single_vehicle,snow,2025-05-23,False,1,0,8296.17,paid,7931.31,0,
CM004630,CL001872,VH002607,PR000072,PR000099,,single_vehicle,fog,2024-04-05,True,0,1,1337.67,under_review,,0,
CM001766,CL000089,VH003058,,PR000197,,single_vehicle,snow,2024-03-31,True,0,4,2509.38,paid,2281.91,0,
CM006222,CL002138,VH003632,,,,sideswipe,snow,2023-08-14,True,1,0,2460.16,paid,2378.54,0,
CM003940,CL003792,VH002377,,PR000108,,multi_vehicle_pileup,clear,2023-06-16,True,2,0,2316.62,paid,2179.45,0,
CM004873,CL003082,VH001101,,PR000029,,single_vehicle,clear,2023-04-21,True,0,0,8483.21,paid,8425.64,0,
CM006530,CL003171,VH001197,,PR000220,,parking_lot,clear,2023-04-22,True,0,1,5977.55,paid,5952.19,0,
CM000268,CL001415,VH003173,,PR000138,,rear_end_collision,clear,2023-01-28,False,0,1,2967.32,paid,2760.24,0,
CM003729,CL003045,VH003516,,PR000218,,single_vehicle,clear,2023-10-12,True,0,0,2906.36,paid,2785.47,0,
CM008113,CL003340,VH000500,PR000198,PR000013,,parking_lot,clear,2025-01-20,True,0,0,4252.94,paid,4225.66,0,
CM007278,CL000999,VH002867,PR000033,PR000202,,rear_end_collision,fog,2024-03-18,False,0,0,3550.17,under_review,,0,
CM007472,CL000896,VH000756,,,,multi_vehicle_pileup,clear,2025-12-27,True,0,2,5505.49,paid,5458.08,0,
CM000170,CL000404,VH002200,,PR000005,,parking_lot,clear,2025-04-28,True,0,0,4768.37,paid,4703.73,0,
CM006102,CL002196,VH003576,,PR000047,,multi_vehicle_pileup,clear,2025-10-24,True,1,1,1400.4,paid,1280.88,0,
CM002933,CL001505,VH001300,PR000114,PR000245,,rear_end_collision,fog,2025-09-22,True,0,1,3780.65,paid,3492.99,0,
